"visitor_id","lead_id","amount","created_at","closing_reason","learning_format","status_id"
e70383f5f3c72292b9141f6d641b8553500186a8,"3350551",0,2023-06-24 14:31:29.000,Не реализовано,group,143
c7e9f05ffa5ab9b831d65c3774a013a508196f0a,"3407340",0,2023-06-21 08:47:36.000,Не реализовано,group,143
"9d82167f1bc2950bf87d98f2d95581c4bc21a46c","3464129",0,2023-06-12 21:13:36.000,Не реализовано,group,143
"9bea628239a302786a8576244a69650be4681df3","3520918",0,2023-06-04 09:48:16.000,Не реализовано,group,143
"2b47b0056fb88e767a45f3814935a45e5d48c8b3","3577707",0,2023-06-09 14:34:06.000,Не реализовано,group,143
ea22461356efe2c4d5e947e21f551ae798a2c825,"3634496",0,2023-06-13 08:53:17.000,Не реализовано,group,143
"89a2aee8056c26e8382e08615931e092cb0f956d","3691285",0,2023-06-15 07:47:46.000,Не реализовано,group,143
"5a36568e2d1bc20d36aae63834f29bef33dbcfcc","3748074",0,2023-06-18 19:49:31.000,Не реализовано,group,143
af2e2dc41f6211adc2de78cfafdb33d6d6a4c331,"3804863",0,2023-06-20 11:45:20.000,Не реализовано,group,143
df56fbe7cff693308d0b28edd8b6ed27c273c4ed,"3861652",0,2023-06-04 00:36:20.000,Не реализовано,group,143
"08c9a932923a56df254663900366c84cbfc57960","3918441",0,2023-06-06 03:08:19.000,Не реализовано,group,143
"1224645bebde8ffb5ab18097341a9f31aa692abc","3975230",0,2023-06-09 17:05:14.000,Не реализовано,group,143
a2c8be4b0b0d5021228df206c55e83cd7dcbe928,"4032019",0,2023-06-14 00:19:45.000,Не реализовано,group,143
"42d052425708e0cee279039380b262fe78991b25","4088808",0,2023-06-17 19:56:43.000,Не реализовано,group,143
"5b9d75f1c0e0772ea262e465d9abe2c671756bcb","4145597",0,2023-06-11 11:22:56.000,Не реализовано,group,143
"3935322db5fd6b541a68354e15662fa91f152bbe","4202386",0,2023-06-24 08:32:36.000,Не реализовано,premium,143
"9a2ac6390b92a1b5175da1e2a699e355b7ae8dc8","4259175",0,2023-06-29 12:08:15.000,Не реализовано,group,143
